Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,Device Count
"City of Santa Rosa, Laguna, Philippines",14.31471,121.11232,DITO,39066,3666,39.07,3.67,23,514,148,207
"Koronadal, South Cotabato, Philippines",6.50044,124.84333,Globe,28548,5575,28.55,5.58,34,507,69,114
"Panabo City, Davao del Norte, Philippines",7.30822,125.68662,Globe,20060,8213,20.06,8.21,36,499,39,63
"Consolacion, Cebu, Philippines",10.37581,123.95694,Smart,37313,5000,37.31,5.00,17,496,129,186
"Tacloban City, Leyte, Philippines",11.22238,124.99221,Smart,56633,9297,56.63,9.30,20,490,171,241
"Digos, Davao del Sur, Philippines",6.74347,125.35515,Globe,18979,6269,18.98,6.27,36,485,43,73
"Malay, Aklan, Philippines",11.93033,121.95191,Globe,40533,8293,40.53,8.29,38,483,170,245
"Dapitan City, Zamboanga del Norte, Philippines",8.58118,123.42714,Globe,17248,8988,17.25,8.99,33,478,23,36
"Bocaue, Bulacan, Philippines",14.7943,120.93073,Globe,21609,5273,21.61,5.27,27,476,99,170
"Cotabato City, Maguindanao, Philippines",7.20467,124.23104,Globe,27443,8147,27.44,8.15,35,476,80,108
"Mabalacat City, Pampanga, Philippines",15.24525,120.56567,DITO,34319,5517,34.32,5.52,26,473,92,136
"Minglanilla, Cebu, Philippines",10.24543,123.79599,Smart,29069,6247,29.07,6.25,18,469,126,175
"Calbayog, Samar, Philippines",12.0685,124.59081,Globe,23185,7875,23.19,7.88,46,469,70,85
"Isulan, Sultan Kudarat, Philippines",6.6318,124.44201,DITO,64755,14918,64.76,14.92,44,467,28,38
"Olongapo City, Zambales, Philippines",14.88739,120.36661,Globe,26119,4617,26.12,4.62,24,464,125,201
"Virac, Catanduanes, Philippines",13.61939,124.17544,Smart,31109,5513,31.11,5.51,29,463,75,106
"San Mateo, Rizal, Philippines",14.69539,121.11767,Globe,42755,9665,42.76,9.67,16,461,133,198
"Urdaneta City, Pangasinan, Philippines",15.98194,120.59698,Globe,25939,5196,25.94,5.20,18,460,111,167
"Silay, Negros Occidental, Philippines",10.79968,122.97605,Globe,21451,8660,21.45,8.66,38,459,80,111
"Cabuyao City, Laguna, Philippines",14.27433,121.11961,Globe,35600,7848,35.60,7.85,19,457,145,217
"Olongapo City, Zambales, Philippines",14.88739,120.36661,Smart,59063,5410,59.06,5.41,20,456,125,196
"Iligan City, Lanao del Norte, Philippines",8.22707,124.46418,Smart,55811,5969,55.81,5.97,17,452,82,125
"Gapan City, Nueva Ecija, Philippines",15.29121,121.01057,Globe,22400,6880,22.40,6.88,22,448,73,105
"Tanauan City, Batangas, Philippines",14.08354,121.14762,Globe,26367,6412,26.37,6.41,20,442,118,174
"San Pedro, Laguna, Philippines",14.36443,121.06192,DITO,44867,3910,44.87,3.91,24,440,140,208
"Liloan, Cebu, Philippines",10.39926,124.00002,Smart,38506,6883,38.51,6.88,17,439,106,147
"Minglanilla, Cebu, Philippines",10.24543,123.79599,Globe,30051,4170,30.05,4.17,34,434,119,163
"Malaybalay City, Bukidnon, Philippines",8.15775,125.17087,Globe,21742,9143,21.74,9.14,30,433,57,85
"Balanga City, Bataan, Philippines",14.67454,120.47033,Smart,35919,3878,35.92,3.88,23,431,137,189
"Guiuan, Eastern Samar, Philippines",10.79308,125.68607,Globe,19481,8773,19.48,8.77,39,430,21,29
"Mariveles, Bataan, Philippines",14.4354,120.49003,Globe,22245,6505,22.25,6.51,25,429,89,126
"Lucena City, Quezon, Philippines",13.94139,121.62345,Globe,41428,7976,41.43,7.98,21,428,105,154
"Koronadal, South Cotabato, Philippines",6.50044,124.84333,Smart,58522,7801,58.52,7.80,27,427,101,146
"Tagbilaran City, Bohol, Philippines",9.6534,123.86703,Smart,60246,7252,60.25,7.25,23,423,112,156
"San Jose de Buenavista, Antique, Philippines",10.74901,121.94128,Globe,12469,3895,12.47,3.90,42,421,44,71
"Talisay, Cebu, Philippines",10.25859,123.82413,DITO,39865,3219,39.87,3.22,31,421,119,159
"Imus, Cavite, Philippines",14.42764,120.93724,DITO,37188,3743,37.19,3.74,24,418,138,197
"Meycauayan, Bulacan, Philippines",14.73772,120.96077,Smart,36615,2696,36.62,2.70,19,417,129,197
"Silay, Negros Occidental, Philippines",10.79968,122.97605,Smart,50756,9483,50.76,9.48,19,417,85,130
"Butuan City, Agusan Del Norte, Philippines",8.94753,125.54063,DITO,28524,7756,28.52,7.76,37,417,61,156
"San Carlos City, Negros Occidental, Philippines",10.48344,123.30371,Globe,11976,5135,11.98,5.14,46,417,56,80
"Bocaue, Bulacan, Philippines",14.7943,120.93073,Smart,24766,2505,24.77,2.51,20,416,133,208
"Tacloban City, Leyte, Philippines",11.22238,124.99221,DITO,39950,3890,39.95,3.89,30,414,106,150
